2023-06-23 at 09:36:43 | INFO | ModelAngelo with args: {'volume_path': 'emd_23232.mrc', 'output_dir': 'output', 'mask_path': None, 'device': None, 'config_path': None, 'model_bundle_name': 'nucleotides_no_seq', 'model_bundle_path': None, 'keep_intermediate_results': False, 'pipeline_control': False, 'func': <function main at 0x7f015ef6bca0>}
2023-06-23 at 09:36:43 | INFO | Initial C-alpha prediction with args: {'model_checkpoint': 'chkpt.torch', 'bfactor': 0, 'batch_size': 4, 'box_size': 64, 'stride': 16, 'dont_mask_input': True, 'threshold': 0.05, 'save_real_coordinates': False, 'save_cryo_em_grid': False, 'do_nucleotides': True, 'save_backbone_trace': False, 'save_output_grid': False, 'crop': 6, 'log_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha', 'map_path': 'emd_23232.mrc', 'output_path': 'output/see_alpha_output', 'mask_path': None, 'device': None, 'auto_mask': False}
2023-06-23 at 09:36:43 | INFO | Using model file /opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha/model.py
2023-06-23 at 09:36:43 | INFO | Using checkpoint file /opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha/chkpt.torch
2023-06-23 at 09:36:44 | INFO | Input structure has shape: (220, 220, 220)
2023-06-23 at 09:36:44 | INFO | Running with these arguments:
2023-06-23 at 09:36:44 | INFO | {'model_checkpoint': 'chkpt.torch', 'bfactor': 0, 'batch_size': 4, 'box_size': 64, 'stride': 16, 'dont_mask_input': True, 'threshold': 0.05, 'save_real_coordinates': False, 'save_cryo_em_grid': False, 'do_nucleotides': True, 'save_backbone_trace': False, 'save_output_grid': False, 'crop': 6, 'log_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha', 'map_path': 'emd_23232.mrc', 'output_path': 'output/see_alpha_output', 'mask_path': None, 'device': None, 'auto_mask': False}
2023-06-23 at 09:42:31 | INFO | Model prediction done, took 346.58 seconds for 1000 sliding windows
2023-06-23 at 09:42:31 | INFO | Average time is 346.575 ms
2023-06-23 at 09:42:31 | INFO | Starting Cα grid to points...
2023-06-23 at 09:42:32 | INFO | Have 7915 Cα points before pruning and 2175 after pruning
2023-06-23 at 09:42:33 | INFO | Starting P grid to points...
2023-06-23 at 09:42:33 | INFO | Have 0 P points before pruning and 0 after pruning
2023-06-23 at 09:42:34 | INFO | Finished inference!
2023-06-23 at 09:42:34 | INFO | GNN model refinement round 1 with args: {'num_rounds': 3, 'crop_length': 200, 'repeat_per_residue': 1, 'esm_model': 'esm1b_t33_650M_UR50S', 'aggressive_pruning': False, 'seq_attention_batch_size': 200, 'fp16': False, 'batch_size': 1, 'voxel_size': 1.0, 'map': 'emd_23232.mrc', 'struct': 'output/see_alpha_output/see_alpha_merged_output.cif', 'output_dir': 'output/gnn_output_round_1', 'model_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/gnn', 'device': None, 'refine': False}
2023-06-23 at 09:42:34 | INFO | Loaded module from step: 329999
